82886,71782
56328,185060
190710,216769
170821,223909
87477,165713
19287,212001
20485,75088
197814,224613
7952,130320
231294,62148
42253,18690
8412,213924
27007,197482
45714,179460
7750,18300
228145,137464
146301,79475
249841,35272
237889,979
16903,28999
105735,1196
171414,25135
180081,138658
66821,179485
151293,34741
182848,11960
141222,175300
213120,173322
226160,169350
109068,27848
105182,238
46868,112320
8353,167193
83135,187261
191874,173626
28313,57843
238275,35497
157909,71988
52096,48518
127885,240340
233327,216320
100871,218109
9612,124266
3578,87379
156885,187832
227004,135283
170799,9704
46958,176125
120826,133025
210202,125948
70914,230746
228360,185515
85932,226078
206257,215972
214769,79048
144732,142566
198765,146886
130143,95750
177555,172852
53604,212669
48888,213060
52634,68994
68296,94460
191381,205839
58773,89779
80683,130575
183480,33924
146109,71146
84077,173778
89736,16891
193153,23949
182755,69023
131690,77460
16906,26965
56076,204146
81671,206593
175137,200797
162992,70214
156667,231971
60605,98541
200755,62674
127971,74242
189697,4092
243562,226849
190128,57877
98020,78191
52058,148131
110231,198481
21735,10615
237031,1034
219184,74585
13985,194111
37779,213135
201319,178825
184194,109277
180530,1827
12104,53844
101554,111072
78993,33144
124731,75659
9156,169736
239018,143282
190494,171627
208610,66893
172229,55492
100129,2325
26697,132473
165094,142947
160368,183462
198279,9204
185864,76294
55131,237559
200825,73024
22048,230466
72108,106848
40833,128071
176037,12450
203483,109358
177436,197856
184308,207910
40611,7314
19228,225102
128734,63511
26039,127574
68556,99812
218891,154060
32456,176148
49294,246086
108829,176138
83066,135765
74086,125486
184998,143533
238866,242593
8748,206256
119905,57578
70587,36757
35185,95260
168417,159876
17581,131843
141680,225942
191267,159345
37203,221201
88839,18793
243958,181170
133838,64866
50318,122346
228564,2085
188145,131382
188463,195016
203590,177976
52186,121517
201360,198335
24859,61721
40033,117940
99777,178219
73235,164096
38969,73189
161524,102260
231214,223616
163916,157755
86022,104327
111570,131481
77942,193997
30940,40007
60823,237687
145322,52106
67057,200883
96010,33829
44891,107435
45697,85008
117621,130032
9698,124731
198335,195984
77317,31013
62401,201778
79439,74698
143931,29072
168356,67914
227506,167276
16422,110930
170476,149490
85162,127687
6266,247008
166216,42381
139152,35560
217696,41147
45508,52059
117,114367
56057,91630
115740,128124
198632,57561
25304,50665
232730,212291
89900,248273
45398,2648
213742,99659
23831,169886
182881,188599
69214,193082
201588,105482
85295,91466
201930,173264
61713,225343
66558,206996
196764,75383
105712,25118
69559,59115
29645,32993
247050,116659
148384,89535
59569,106645
78684,150833
62222,99864
215543,212807
82306,225437
172516,97625
188542,15294
46633,220607
104278,160584
79812,146204
73485,103676
246136,167742
203746,148912
157641,155680
52935,51022
178775,130517
40410,237930
149790,245230
80182,123296
110511,178423
232227,131213
226686,222314
96857,60695
234143,236249
9209,198480
247960,149346
249607,136737
79651,211307
243909,107122
58305,135199
101522,111634
246516,146777
78112,243969
105887,183167
231465,139928
115372,158133
121193,231171
84660,142242
41909,122931
45805,129482
164835,114328
213962,244564
161783,168820
45613,165210
144369,5422
92100,33552
35847,237204
140462,156922
164948,199014
188830,54422
67930,27009
33352,139401
208274,123234
101469,85843
64720,142501
164335,197417
237220,235350
4669,211254
227365,80267
240941,225376
59426,165352
138577,7540
110314,115631
137620,50184
209557,146350
177182,114458
149032,204881
151976,31815
16612,24316
146011,212075
